FHRSID,BusinessName,BusinessType,FullAddress,PostCode,Hygiene,Structural,ConfidenceInManagement
1002729,A Taste Of China,Takeaway/sandwich shop,"51 Covered Market, Market Street, Oxford",OX1 3DX,5,10,10
268380,Adams Guest House,Hotel/bed & breakfast/guest house,"302 Banbury Road, Oxford, Oxfordshire",OX2 7ED,0,0,0
269186,Aldi,Retailers - supermarkets/hypermarkets,"Botley Road, Oxford, Oxfordshire",OX2 0HA,0,0,0
974651,Aldi,Retailers - supermarkets/hypermarkets,"Horspath Driftway, Oxford, Oxfordshire",OX3 7JG,0,0,0
1019659,Alice's Fish And Chips,Takeaway/sandwich shop,"7 Atkyns Road, Oxford, Oxfordshire",OX3 8RA,0,5,5
1616679,Atlantic Fish Bar,Takeaway/sandwich shop,"270 Abingdon Road, Oxford, Oxfordshire",OX1 4TA,0,0,0
269422,Barton Chippy,Takeaway/sandwich shop,"2 Underhill Circus, Oxford, Oxfordshire",OX3 9LU,5,5,10
268401,Bath Place Hotel,Hotel/bed & breakfast/guest house,"4 - 5 Bath Place, Oxford, Oxfordshire",OX1 3SU,0,0,0
1642995,BaxterStorey - Blavatnik School Of Government,Mobile caterer,"Blavatnik School Of Government, Radcliffe Observatory Quarter, Woodstock Road",OX2 6GG,0,0,0
1426960,Bubbleology,Takeaway/sandwich shop,"126 High Street, Oxford, Oxfordshire",OX1 4DF,5,5,5
269549,Burger King Drive Thru,Takeaway/sandwich shop,"Unit 5, Oxford Retail Park, Ambassador Avenue",OX4 6XJ,0,5,0
269059,Burgerworld,Mobile caterer,"Wickes Car Park, Botley Road, Oxford",OX2 0HA,0,5,0
268386,Burlington House,Hotel/bed & breakfast/guest house,"374 Banbury Road, Oxford, Oxfordshire",OX2 7PP,0,0,5
1004743,Caprinos Pizza,Takeaway/sandwich shop,"387 Cowley Road, Oxford, Oxfordshire",OX4 2BS,0,0,0
1683629,Caprinos Pizza,Takeaway/sandwich shop,"6 The Roundway, Oxford, Oxfordshire",OX3 8DH,0,0,0
1212445,Chicken Cottage,Takeaway/sandwich shop,"107 Cowley Road, Oxford, Oxfordshire",OX4 1HU,5,5,5
268908,Chicken Hut,Takeaway/sandwich shop,"55 Between Towns Road, Oxford, Oxfordshire",OX4 3LR,5,5,5
268782,Chillies Indian Takeaway,Takeaway/sandwich shop,"Chilli's Indian Cuisine, Dunnock Way, Oxford",OX4 7EX,0,0,0
1452840,China Kitchen,Takeaway/sandwich shop,"131 Oxford Road, Cowley, Oxford",OX4 2ES,5,0,5
